"Name","Version","License"
"windows-implement","0.56.0","MIT OR Apache-2.0"
"windows-interface","0.56.0","MIT OR Apache-2.0"
"windows-interface","0.59.3","MIT OR Apache-2.0"
"windows-interface","0.58.0","MIT OR Apache-2.0"
"windows-link","0.1.3","MIT OR Apache-2.0"
"windows-link","0.2.1","MIT OR Apache-2.0"
"windows-numerics","0.2.0","MIT OR Apache-2.0"
"windows-result","0.4.1","MIT OR Apache-2.0"
"windows-result","0.3.4","MIT OR Apache-2.0"
"windows-result","0.1.2","MIT OR Apache-2.0"
"windows-result","0.2.0","MIT OR Apache-2.0"
"windows-strings","0.4.2","MIT OR Apache-2.0"
"windows-strings","0.1.0","MIT OR Apache-2.0"
"windows-strings","0.5.1","MIT OR Apache-2.0"
"windows-sys","0.61.2","MIT OR Apache-2.0"
"windows-sys","0.60.2","MIT OR Apache-2.0"
"windows-sys","0.45.0","MIT OR Apache-2.0"
"windows-sys","0.59.0","MIT OR Apache-2.0"
"windows-targets","0.42.2","MIT OR Apache-2.0"
"windows-targets","0.53.5","MIT OR Apache-2.0"
"windows-targets","0.52.6","MIT OR Apache-2.0"
"windows-threading","0.1.0","MIT OR Apache-2.0"
"windows-version","0.1.7","MIT OR Apache-2.0"
"window-vibrancy","0.6.0","Apache-2.0 OR MIT"
"winnow","1.0.4","MIT"
"winnow","0.7.15","MIT"
"winnow","0.5.40","MIT"
"winreg","0.55.0","MIT"
"wit-bindgen","0.57.1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"writeable","0.6.3","Unicode-3.0"
"write-fonts","0.48.1","MIT OR Apache-2.0"
"wry","0.55.1","Apache-2.0 OR MIT"
"wyz","0.5.1","MIT"
"x11","2.21.0","MIT"
"x11-dl","2.21.0","MIT"
"y4m","0.8.0","MIT"
"yoke","0.8.3","Unicode-3.0"
"yoke-derive","0.8.2","Unicode-3.0"
"zbus","5.18.0","MIT"
"zbus_macros","5.18.0","MIT"
"zbus_names","4.3.4","MIT"
"zerocopy","0.8.55","BSD-2-Clause OR Apache-2.0 OR MIT"
"zerocopy-derive","0.8.55","BSD-2-Clause OR Apache-2.0 OR MIT"
"zerofrom","0.1.8","Unicode-3.0"
"zerofrom-derive","0.1.7","Unicode-3.0"
"zerotrie","0.2.4","Unicode-3.0"
"zerovec","0.11.6","Unicode-3.0"
"zerovec-derive","0.11.3","Unicode-3.0"
"zmij","1.0.23","MIT"
"zune-core","0.5.1","MIT OR Apache-2.0 OR Zlib"
"zune-inflate","0.2.54","MIT OR Apache-2.0 OR Zlib"
"zune-jpeg","0.5.15","MIT OR Apache-2.0 OR Zlib"
"zvariant","5.13.1","MIT"
"zvariant_derive","5.13.1","MIT"
"zvariant_utils","3.5.0","MIT"
